File Name,Comments,Shot,Scene,Good Take
Music for Trailer.wav,,,,
SFX - Distant prop plane.wav,,,,
SFX - Jet take off.wav,,,,
SFX - Jet taxi.wav,,,,
SFX - Light Wind Wispy.aiff,,,,
SFX - Overhead.wav,,,,
SFX - Prop.wav,,,,
AA0113_01.mov,SHOOT THE REAL WORLD,01,,1
AB0102_01.mov,EVERY SHOT WAS ORIGINAL AND REAL,02,,1
AC0113_01.mov,IMPOSSIBLE SHOTS,03,,
AOA_CLIP_01.mov,A380 TAXI,01,SFO,
AOA_CLIP_02.mov,A380 TAKEOFF,02,SFO,1
AOA_CLIP_03.mov,AERIAL SFO,03,SFO,
AOA_CLIP_04.mov,JET LANDING,04,SFO,
AOA_CLIP_09.mov,HAWAIIAN LANDING,09,SFO,
AOA_CLIP_10.mov,MALDIVES,10,Flying,1
AOA_CLIP_11.mov,ST MAARTEN LANDING,11,Flying,
AOA_CLIP_12.mov,AERIAL ALASKA,14,Flying,1
CREDITS.mov,MOVIE CREDITS,,,
053_AERIAL_KENYA_YELLOW PLANE.mov,KENYA,07,Flying,1
STARS_MILKYWAY.mov,MILKYWAY TIMELAPSE,06,Timelapse,
BAY_AREA_NIGHT_LIGHTS.mov,BAY AREA LIGHTS TIMELAPSE,05,Timelapse,
A299C006_ST_MAARTEN_LANDING_W_PEOPLE.mov,ST MAARTEN LANDING - PEOPLE,12,Flying,1
A663C012_SOUTH_POLE_TAKE_OFF.mov,SOUTH POLE TAKEOFF,08,Flying,
b004_SFO_LIGHTS_04.mov,NIGHT TAKEOFF TIMELAPSE,13,Timelapse,
HF VO 1.wav,,,,
HF VO 2.wav,,,,
